study_id,id,ses,taskCondition,Condition,Salience,Direction,DirectionLabel,Trial,level,Change,Correct,Accuracy,Response,Arousal,Confidence,trial.started,trial.stopped
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,1,0.4,0.4,left,1,left,4,5,30.4240263001993,49.6545520001091
5,10078,ses1,lowSalienceDec,visual,Low,Slower,Dec,1,0.4,0.4,left,0,up,4,5,57.9110981998965,77.0280058002099
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,1,0.4,-0.4,right,1,right,3,6,82.9879872999154,95.8141327998601
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,1,0.4,-0.4,right,1,right,3,4,100.959549200255,113.599110099953
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,2,0.290866253180461,-0.290866253180461,right,1,right,3,4,117.025596700143,130.738046300132
5,10078,ses1,lowSalienceAcc,visual,Low,NoChange,Acc,2,0.290866253180461,0,up,1,up,3,5,134.056318699848,150.070027300157
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,2,0.290866253180461,0.290866253180461,left,1,left,3,4,154.797642299905,173.14859570004
5,10078,ses1,lowSalienceDec,visual,Low,Slower,Dec,2,0.660005903669501,0.660005903669501,left,1,left,3,3,176.383427599911,197.385467200074
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,3,0.194847947730885,-0.194847947730885,right,1,right,3,5,200.861895999871,215.341991900001
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,3,0.194847947730885,0.194847947730885,left,0,up,4,5,218.566513000056,236.163507500198
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,3,0.194847947730885,-0.194847947730885,right,1,right,3,4,240.169161799829,254.615887300111
5,10078,ses1,lowSalienceDec,visual,Low,Slower,Dec,3,0.581129104720385,0.581129104720385,left,1,left,5,5,258.869684100151,279.336464200169
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,4,0.115692875109348,-0.115692875109348,right,0,up,4,4,283.22815300012,298.356191399973
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,4,0.115692875109348,-0.115692875109348,right,0,up,4,4,303.802173399832,318.898949500173
5,10078,ses1,lowSalienceDec,visual,Low,Slower,Dec,4,0.525950164665448,0.525950164665448,left,0,right,3,3,323.88899270026,343.924649500288
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,4,0.3701268140887,0.3701268140887,left,1,left,4,5,349.228295400273,368.211378499866
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,5,0.306922397528371,0.306922397528371,left,0,up,3,5,375.505484799854,393.988256699871
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,5,0.254200718251075,-0.254200718251075,right,1,right,4,5,399.730360600166,413.658346000127
5,10078,ses1,lowSalienceDec,visual,Low,NoChange,Dec,5,0.647391868726583,0,up,1,up,4,5,418.086171600036,434.101065100171
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,5,0.254200718251075,-0.254200718251075,right,1,right,4,5,439.037739700172,453.015736199915
5,10078,ses1,highSalienceDec,visual,High,NoChange,Dec,6,0.419056204680371,0,up,1,up,3,4,456.422155200038,472.436079599895
5,10078,ses1,lowSalienceDec,visual,Low,Slower,Dec,6,0.605164543296626,0.605164543296626,left,1,left,4,5,478.278103800025,498.879755800124
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,6,0.205495959444778,-0.205495959444778,right,1,right,3,4,504.705282500014,519.083985700272
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,6,0.205495959444778,-0.205495959444778,right,0,up,3,5,521.927989699878,536.273199399933
5,10078,ses1,highSalienceDec,visual,High,NoChange,Dec,7,0.368248417901281,0,up,1,up,4,4,540.992845300119,557.006446800195
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,7,0.16847007996347,-0.16847007996347,right,0,up,3,4,561.053161600139,575.746920399833
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,7,0.296477446597481,-0.296477446597481,right,1,right,3,4,578.802092500031,592.364078400191
5,10078,ses1,lowSalienceDec,visual,Low,Slower,Dec,7,0.573476467160386,0.573476467160386,left,0,up,3,5,595.105845400132,615.504827599972
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,8,0.236876035411721,-0.236876035411721,right,1,right,3,4,618.358533100225,632.484461199958
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,8,0.333132979102684,0.333132979102684,left,0,up,3,5,635.794118999969,654.478392099962
5,10078,ses1,lowSalienceDec,visual,Low,Slower,Dec,8,0.631387881416053,0.631387881416053,left,1,left,3,5,658.315757399891,679.148745500017
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,8,0.258959473847614,-0.258959473847614,right,1,right,3,5,682.225697400048,696.104505899828
5,10078,ses1,highSalienceAcc,visual,High,Faster,Acc,9,0.208658445157762,-0.208658445157762,right,1,right,2,4,701.208131300285,715.553104400169
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,9,0.408728015105941,0.408728015105941,left,0,right,3,4,719.400369599927,738.69848080026
5,10078,ses1,lowSalienceDec,visual,Low,NoChange,Dec,9,0.605333339920889,0,up,1,up,3,5,744.171183499973,760.199074400123
5,10078,ses1,lowSalienceAcc,visual,Low,Faster,Acc,9,0.230614933681156,-0.230614933681156,right,0,up,2,3,764.273049599957,778.401416699868
5,10078,ses1,lowSalienceDec,visual,Low,NoChange,Dec,10,0.58476395975776,0,up,1,up,3,5,785.029858000111,801.058106400073
5,10078,ses1,highSalienceDec,visual,High,Slower,Dec,10,0.495001535181785,0.495001535181785,left,1,left,2,4,805.015380400233,824.9994975999
5,10078,ses1,lowSalienceAcc,visual,Low,NoChange,Acc,10,0.294804448057696,0,up,1,up,3,3,830.992272099946,847.005493800156
5,10078,ses1,highSalienceAcc,visual,High,NoChange,Acc,10,0.185430840362163,0,up,1,up,2,5,851.39684349997,867.409862900153
5,10078,ses2,lowSalienceAcc,breath,Low,Faster,Acc,1,0.4,-0.4,right,0,up,3,5,23.1219477001578,35.7804194004275
5,10078,ses2,lowSalienceDec,breath,Low,Slower,Dec,1,0.4,0.4,left,1,left,4,5,43.208092099987,62.3242822000757
5,10078,ses2,highSalienceDec,breath,High,Slower,Dec,1,0.4,0.4,left,0,up,3,4,65.63426670013,84.852533900179
5,10078,ses2,highSalienceAcc,breath,High,Faster,Acc,1,0.4,-0.4,right,1,right,4,6,91.0619164002128,103.872278800234
5,10078,ses2,lowSalienceAcc,breath,Low,Faster,Acc,2,0.660005903669501,-0.660005903669501,right,1,right,4,6,108.828473000322,118.954394000117
5,10078,ses2,lowSalienceDec,breath,Low,Slower,Dec,2,0.290866253180461,0.290866253180461,left,1,left,3,5,124.693878200371,142.995752600022
5,10078,ses2,highSalienceDec,breath,High,Slower,Dec,2,0.660005903669501,0.660005903669501,left,1,left,2,5,147.165534700267,168.467404100113
5,10078,ses2,highSalienceAcc,breath,High,Faster,Acc,2,0.290866253180461,-0.290866253180461,right,0,up,3,5,174.009899600409,187.737098700367
5,10078,ses2,highSalienceAcc,breath,High,Faster,Acc,3,0.51388673679389,-0.51388673679389,right,1,right,3,5,192.495393400081,204.404084400274
5,10078,ses2,lowSalienceAcc,breath,Low,Faster,Acc,3,0.581129104720385,-0.581129104720385,right,1,right,3,5,208.497117300052,219.441364900209
5,10078,ses2,lowSalienceDec,breath,Low,Slower,Dec,3,0.194847947730885,0.194847947730885,left,1,left,3,5,224.060916800052,241.609425500035
5,10078,ses2,highSalienceDec,breath,High,Slower,Dec,3,0.581129104720385,0.581129104720385,left,1,left,3,5,244.66581290029,265.350230500102
5,10078,ses2,lowSalienceDec,breath,Low,Slower,Dec,4,0.115692875109348,0.115692875109348,left,0,up,3,4,267.708824600093,284.641668200027
5,10078,ses2,lowSalienceAcc,breath,Low,Faster,Acc,4,0.525950164665448,-0.525950164665448,right,1,right,3,5,290.701327200048,302.160107900389
5,10078,ses2,highSalienceDec,breath,High,Slower,Dec,4,0.525950164665448,0.525950164665448,left,0,right,3,4,305.862219200004,326.079931500368
5,10078,ses2,highSalienceAcc,breath,High,Faster,Acc,4,0.435497046207659,-0.435497046207659,right,1,right,3,5,331.790441000368,344.336768200155
5,10078,ses2,lowSalienceDec,breath,Low,Slower,Dec,5,0.254200718251075,0.254200718251075,left,0,right,3,4,348.306035300251,366.304495100398
5,10078,ses2,lowSalienceAcc,breath,Low,Faster,Acc,5,0.48362519319045,-0.48362519319045,right,1,right,3,5,373.782905200031,385.674417700153
5,10078,ses2,highSalienceAcc,breath,High,Faster,Acc,5,0.384343211610783,-0.384343211610783,right,1,right,3,4,388.947916600388,401.891492800321
5,10078,ses2,highSalienceDec,breath,High,Slower,Dec,5,0.647391868726583,0.647391868726583,left,0,up,3,4,405.631609200034,426.817068400327
5,10078,ses2,highSalienceAcc,breath,High,Faster,Acc,6,0.345862034641295,-0.345862034641295,right,1,right,3,3,430.357217899989,443.601094300393
5,10078,ses2,lowSalienceDec,breath,Low,NoChange,Dec,6,0.380480619361484,0,up,1,up,3,5,446.609876400325,462.625734700356
5,10078,ses2,lowSalienceAcc,breath,Low,Faster,Acc,6,0.447677540229846,-0.447677540229846,right,1,right,3,4,466.444483600091,478.653537100181
5,10078,ses2,highSalienceDec,breath,High,Slower,Dec,6,0.764073290372734,0.764073290372734,left,1,left,3,5,485.584360999987,507.705586800352
5,10078,ses2,lowSalienceDec,breath,Low,Slower,Dec,7,0.32876206000892,0.32876206000892,left,0,right,3,3,510.194290500134,528.760565100238
5,10078,ses2,lowSalienceAcc,breath,Low,Faster,Acc,7,0.414991024351223,-0.414991024351223,right,1,right,4,3,531.828574600164,544.338197800331
5,10078,ses2,highSalienceAcc,breath,High,Faster,Acc,7,0.314160845059227,-0.314160845059227,right,0,up,3,5,547.995409200434,561.506028800271
5,10078,ses2,highSalienceDec,breath,High,Slower,Dec,7,0.714967367208,0.714967367208,left,1,left,3,5,563.811820400413,585.563970000017
5,10078,ses2,highSalienceAcc,breath,High,NoChange,Acc,8,0.378862753707589,0,up,1,up,2,4,588.553738099989,604.567018300295
