study_id,id,Group,Trial,Condition,Salience,Direction,TrialDirection,Level,Change,Accuracy,Confidence,Arousal,flag_zero_variance,exclusion_reason
4,10168,Visual,9,lowSalienceAcc,Low,NoChange,Faster,0.170972528,0,1,3,3,FALSE,included
4,10168,Visual,0,lowSalienceDec,Low,Slower,Slower,0.422912,0.422912,1,6,4,FALSE,included
4,10168,Visual,1,lowSalienceDec,Low,Slower,Slower,0.290866253,0.290866253,0,3,3,FALSE,included
4,10168,Visual,2,lowSalienceDec,Low,NoChange,Slower,0.513886737,0,1,5,4,FALSE,included
4,10168,Visual,3,lowSalienceDec,Low,Slower,Slower,0.435497046,0.435497046,1,6,4,FALSE,included
4,10168,Visual,4,lowSalienceDec,Low,NoChange,Slower,0.384343212,0,0,5,3,FALSE,included
4,10168,Visual,5,lowSalienceDec,Low,Slower,Slower,0.493176517,0.493176517,1,3,3,FALSE,included
4,10168,Visual,6,lowSalienceDec,Low,NoChange,Slower,0.451196917,0,0,4,3,FALSE,included
4,10168,Visual,7,lowSalienceDec,Low,Slower,Slower,0.533085944,0.533085944,1,3,3,FALSE,included
4,10168,Visual,8,lowSalienceDec,Low,Slower,Slower,0.496885898,0.496885898,1,5,4,FALSE,included
4,10168,Visual,9,lowSalienceDec,Low,Slower,Slower,0.472427637,0.472427637,1,6,4,FALSE,included
4,10189,Breath,0,lowSalienceAcc,Low,Faster,Faster,0.422912,-0.422912,1,5,2,FALSE,included
4,10189,Breath,1,lowSalienceAcc,Low,Faster,Faster,0.290866253,-0.290866253,0,4,2,FALSE,included
4,10189,Breath,2,lowSalienceAcc,Low,Faster,Faster,0.513886737,-0.513886737,1,5,3,FALSE,included
4,10189,Breath,3,lowSalienceAcc,Low,NoChange,Faster,0.435497046,0,0,5,2,FALSE,included
4,10189,Breath,4,lowSalienceAcc,Low,Faster,Faster,0.585936155,-0.585936155,1,4,2,FALSE,included
4,10189,Breath,5,lowSalienceAcc,Low,NoChange,Faster,0.529407016,0,1,3,2,FALSE,included
4,10189,Breath,6,lowSalienceAcc,Low,Faster,Faster,0.490348089,-0.490348089,1,4,2,FALSE,included
4,10189,Breath,7,lowSalienceAcc,Low,Faster,Faster,0.461048392,-0.461048392,1,4,2,FALSE,included
4,10189,Breath,8,lowSalienceAcc,Low,Faster,Faster,0.435367606,-0.435367606,0,4,4,FALSE,included
4,10189,Breath,9,lowSalienceAcc,Low,Faster,Faster,0.492745795,-0.492745795,1,4,2,FALSE,included
4,10189,Breath,0,highSalienceDec,High,Slower,Slower,0.422912,0.422912,1,4,2,FALSE,included
4,10189,Breath,1,highSalienceDec,High,NoChange,Slower,0.290866253,0,1,5,3,FALSE,included
4,10189,Breath,2,highSalienceDec,High,NoChange,Slower,0.194847948,0,1,4,4,FALSE,included
4,10189,Breath,3,highSalienceDec,High,Slower,Slower,0.115692875,0.115692875,1,3,1,FALSE,included
4,10189,Breath,4,highSalienceDec,High,Slower,Slower,0.04255853,0.04255853,1,2,2,FALSE,included
4,10189,Breath,5,highSalienceDec,High,NoChange,Slower,-0.019543321,0,1,4,2,FALSE,included
4,10189,Breath,6,highSalienceDec,High,Slower,Slower,-0.073118625,-0.073118625,0,6,3,FALSE,included
4,10189,Breath,7,highSalienceDec,High,NoChange,Slower,0.045520093,0,0,3,1,FALSE,included
4,10189,Breath,8,highSalienceDec,High,Slower,Slower,0.13395027,0.13395027,0,4,2,FALSE,included
4,10189,Breath,9,highSalienceDec,High,Slower,Slower,0.228244731,0.228244731,0,4,2,FALSE,included
4,10189,Breath,0,highSalienceAcc,High,NoChange,Faster,0.422912,0,1,4,2,FALSE,included
4,10189,Breath,1,highSalienceAcc,High,Faster,Faster,0.290866253,-0.290866253,1,4,1,FALSE,included
4,10189,Breath,2,highSalienceAcc,High,Faster,Faster,0.194847948,-0.194847948,0,4,1,FALSE,included
4,10189,Breath,3,highSalienceAcc,High,Faster,Faster,0.370126814,-0.370126814,0,5,3,FALSE,included
4,10189,Breath,4,highSalienceAcc,High,Faster,Faster,0.523699206,-0.523699206,0,4,1,FALSE,included
4,10189,Breath,5,highSalienceAcc,High,Faster,Faster,0.687740606,-0.687740606,0,4,1,FALSE,included
4,10189,Breath,6,highSalienceAcc,High,Faster,Faster,0.859610646,-0.859610646,1,4,1,FALSE,included
4,10189,Breath,7,highSalienceAcc,High,Faster,Faster,0.799858958,-0.799858958,1,5,1,FALSE,included
4,10189,Breath,8,highSalienceAcc,High,Faster,Faster,0.755650039,-0.755650039,1,5,2,FALSE,included
4,10189,Breath,9,highSalienceAcc,High,NoChange,Faster,0.720197147,0,0,4,2,FALSE,included
