id,arousal_sd_s1,n_s1_trials,mean_acc_s1,flag_pilot,flag_test_entry,flag_zero_arousal,flag_near_chance,flag_zero_arousal_detected,excluded,exclusion_reason
13048,0.3848076442547927,40,0.6333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13051,1.154422932764378,40,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13081,0.9841695705465312,40,0.696969696969697,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13183,0.8022404524765275,40,0.6470588235294118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13498,0,40,0.7058823529411765,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,pilot_participant
13501,1.165475582469806,40,0.7575757575757576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13525,0.6975230903263787,40,0.7741935483870968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13531,0.2667467828369185,40,0.7352941176470589,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13558,0.5541220822628188,40,0.7037037037037037,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13627,0.6155047959570695,40,0.696969696969697,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13642,0.22072142786315224,40,0.7096774193548387,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13675,1.1940021045379383,40,0.5757575757575758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13690,1.061868213369297,40,0.8285714285714286,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13693,1.214231845389905,40,0.7428571428571429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13705,1.0497252387758793,40,0.5882352941176471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13711,0,40,0.7058823529411765,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,zero_variance_arousal
13726,0.505736325340815,40,0.7058823529411765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13738,1.2025613689761725,40,0.78125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13753,0.6155047959570695,40,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13771,0.549475274168981,40,0.8571428571428571,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13774,1.0177904675803542,40,0.5714285714285714,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13840,0.75064075193233315,40,0.6875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13876,0.5970010522689692,40,0.6060606060606061,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13879,0.6385078759829887,40,0.5666666666666667,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_participant
13900,0.5430209893473685,40,0.6857142857142857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13927,0.4385290096535146,40,0.8666666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13936,0.6558416006386032,40,0.7142857142857143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13939,0.888314451139102,40,0.8275862068965517,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
13966,0.9660917830792959,40,0.5925925925925926,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14020,0.4522025867763026,40,0.6774193548387096,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14077,1.141018438467616,40,0.7352941176470589,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14101,0.9167249398727054,40,0.7777777777777778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
